GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReservaCarroTeste,br.edu.ifsp.bra.dominio,Reserva,42,27,0,0,12,9,12,7,12,7
ReservaCarroTeste,br.edu.ifsp.bra.dominio,FormaPagamento,0,21,0,0,0,4,0,1,0,1
ReservaCarroTeste,br.edu.ifsp.bra.dominio,Condutor,22,21,0,0,6,8,6,3,6,3
ReservaCarroTeste,br.edu.ifsp.bra.dominio,Carro,53,0,0,0,17,0,11,0,11,0
ReservaCarroTeste,br.edu.ifsp.bra.dominio,Pagamento,15,39,0,0,4,13,4,7,4,7
ReservaCarroTeste,br.edu.ifsp.bra.dominio,Cliente,43,0,0,0,14,0,9,0,9,0
ReservaCarroTeste,br.edu.ifsp.bra,Main,8,0,0,0,3,0,2,0,2,0
ReservaCarroTeste,br.edu.ifsp.bra.controller,ReservaController,21,0,0,0,5,0,2,0,2,0
ReservaCarroTeste,br.edu.ifsp.bra.controller,ValidacaoCNHController,15,0,0,0,5,0,2,0,2,0
ReservaCarroTeste,br.edu.ifsp.bra.controller,PagamentoController,14,0,0,0,5,0,2,0,2,0
ReservaCarroTeste,br.edu.ifsp.bra.controller,ReservaController.RequisicaoReserva,3,0,0,0,1,0,1,0,1,0
ReservaCarroTeste,br.edu.ifsp.bra.aplicacao,ReservaService,48,59,9,5,7,18,7,4,2,2
ReservaCarroTeste,br.edu.ifsp.bra.aplicacao,PagamentoService,3,68,5,14,1,15,5,8,0,3
ReservaCarroTeste,br.edu.ifsp.bra.aplicacao,ValidacaoCNHService,0,19,0,6,0,4,0,5,0,2
